Sr. No,Album,Release date,Year
1,Taylor Swift,24-Oct-2006,2006
2,Folkfare,24-Jul-2020,2020
3,Reputation,10-Nov-2017,2017
4,1989,27-Oct-2014,2014
,,,
5,Fearless,11-Nov-2008,2008
